loan_id,document_type,available
L-100000,deed_of_trust,true
L-100000,appraisal_report,true
L-100000,title_report,true
L-100001,income_verification,false
L-100001,deed_of_trust,false
L-100001,insurance_certificate,true
L-100002,deed_of_trust,true
L-100002,income_verification,true
L-100002,promissory_note,true
L-100003,income_verification,true
L-100003,title_report,false
L-100004,appraisal_report,true
L-100005,promissory_note,true
L-100005,appraisal_report,true
L-100006,insurance_certificate,false
L-100007,income_verification,true
L-100007,title_report,true
L-100008,deed_of_trust,true
L-100008,insurance_certificate,true
L-100008,appraisal_report,true
L-100009,income_verification,true
L-100009,promissory_note,false
L-100011,title_report,true
L-100012,deed_of_trust,true
L-100013,appraisal_report,true
L-100013,title_report,true
L-100014,title_report,true
L-100014,deed_of_trust,true
L-100014,promissory_note,true
L-100015,appraisal_report,true
L-100015,income_verification,true
L-100016,promissory_note,true
L-100017,insurance_certificate,false
L-100017,title_report,true
L-100018,appraisal_report,true
L-100018,title_report,true
L-100018,promissory_note,true
L-100019,promissory_note,true
L-100019,title_report,true
L-100021,title_report,true
L-100021,income_verification,true
L-100021,insurance_certificate,true
L-100022,income_verification,true
L-100023,deed_of_trust,true
L-100024,appraisal_report,true
L-100025,insurance_certificate,true
L-100026,income_verification,true
L-100026,title_report,true
L-100027,appraisal_report,true
L-100028,income_verification,true
L-100028,title_report,true
L-100028,appraisal_report,true
L-100029,appraisal_report,true
L-100029,title_report,true
L-100029,promissory_note,true
L-100031,income_verification,true
L-100031,appraisal_report,true
L-100031,promissory_note,true
L-100032,deed_of_trust,true
L-100032,income_verification,true
L-100032,title_report,true
L-100033,promissory_note,true
L-100033,deed_of_trust,true
L-100034,deed_of_trust,true
L-100035,income_verification,true
L-100036,appraisal_report,true
L-100037,promissory_note,true
L-100037,title_report,true
L-100037,insurance_certificate,true
L-100038,promissory_note,true
L-100038,title_report,true
L-100038,insurance_certificate,true
L-100039,insurance_certificate,true
L-100039,deed_of_trust,true
L-100039,promissory_note,true
L-100041,income_verification,true
L-100042,appraisal_report,true
L-100043,deed_of_trust,true
L-100044,deed_of_trust,true
L-100044,income_verification,true
L-100045,income_verification,true
L-100046,income_verification,true
L-100046,insurance_certificate,true
L-100046,promissory_note,true
L-100047,appraisal_report,true
L-100048,insurance_certificate,true
L-100048,appraisal_report,false
L-100049,appraisal_report,true
L-100049,deed_of_trust,true
L-100049,income_verification,true
L-100051,promissory_note,true
L-100052,promissory_note,true
L-100052,insurance_certificate,true
L-100053,insurance_certificate,true
L-100054,deed_of_trust,true
L-100054,appraisal_report,true
L-100054,income_verification,true
L-100055,insurance_certificate,true
L-100056,insurance_certificate,true
L-100057,insurance_certificate,false
L-100058,title_report,true
L-100058,insurance_certificate,true
L-100059,income_verification,true
L-100059,insurance_certificate,true
L-100059,promissory_note,false
L-100061,income_verification,false
L-100061,deed_of_trust,true
L-100061,title_report,true
L-100062,promissory_note,true
L-100062,deed_of_trust,false
L-100062,income_verification,false
L-100063,insurance_certificate,true
L-100064,promissory_note,true
L-100064,income_verification,true
L-100064,deed_of_trust,true
L-100065,title_report,true
L-100065,appraisal_report,true
L-100065,promissory_note,true
L-100066,appraisal_report,true
L-100067,title_report,false
L-100067,deed_of_trust,true
L-100068,deed_of_trust,true
L-100068,appraisal_report,true
L-100068,promissory_note,true
L-100069,promissory_note,true
L-100071,insurance_certificate,true
L-100072,title_report,true
L-100072,income_verification,true
L-100072,deed_of_trust,true
L-100073,promissory_note,true
L-100074,appraisal_report,true
L-100075,title_report,true
L-100075,income_verification,true
L-100076,appraisal_report,true
L-100076,title_report,true
L-100076,insurance_certificate,false
L-100077,insurance_certificate,false
L-100077,title_report,true
L-100077,deed_of_trust,true
L-100078,promissory_note,true
L-100078,insurance_certificate,true
L-100079,deed_of_trust,false
L-100081,promissory_note,true
L-100081,income_verification,true
L-100081,deed_of_trust,true
L-100082,deed_of_trust,true
L-100083,title_report,true
L-100084,appraisal_report,true
L-100085,insurance_certificate,true
L-100085,income_verification,true
L-100085,promissory_note,true
L-100086,insurance_certificate,false
L-100087,title_report,true
L-100087,insurance_certificate,true
L-100087,promissory_note,true
L-100088,insurance_certificate,true
L-100089,title_report,true
L-100089,appraisal_report,true
L-100091,deed_of_trust,true
L-100092,title_report,true
L-100092,appraisal_report,true
L-100093,title_report,true
L-100093,income_verification,true
L-100094,title_report,true
L-100094,deed_of_trust,true
L-100094,income_verification,true
L-100095,deed_of_trust,true
L-100095,appraisal_report,true
L-100096,insurance_certificate,true
L-100096,income_verification,true
L-100097,promissory_note,true
L-100097,title_report,false
L-100097,deed_of_trust,true
L-100098,appraisal_report,true
L-100098,promissory_note,true
L-100098,title_report,true
L-100099,title_report,true
L-100099,deed_of_trust,true
L-100099,appraisal_report,true
L-100101,title_report,true
L-100101,income_verification,true
L-100101,promissory_note,true
L-100102,promissory_note,true
L-100102,income_verification,true
L-100102,title_report,true
L-100103,insurance_certificate,true
L-100104,appraisal_report,true
L-100104,title_report,true
L-100104,insurance_certificate,true
L-100105,promissory_note,true
L-100105,deed_of_trust,true
L-100105,title_report,true
L-100106,appraisal_report,true
L-100107,promissory_note,false
L-100108,insurance_certificate,true
L-100109,insurance_certificate,true
L-100110,income_verification,true
L-100110,promissory_note,true
L-100110,insurance_certificate,true
L-100111,deed_of_trust,true
L-100112,promissory_note,true
L-100113,income_verification,true
L-100113,insurance_certificate,true
L-100113,deed_of_trust,true
L-100114,insurance_certificate,true
L-100115,income_verification,true
L-100115,title_report,true
L-100115,insurance_certificate,true
L-100116,insurance_certificate,true
L-100116,promissory_note,true
L-100116,appraisal_report,true
L-100117,income_verification,true
L-100117,insurance_certificate,true
L-100118,appraisal_report,true
L-100119,title_report,true
L-100119,appraisal_report,false
L-100120,promissory_note,true
L-100121,appraisal_report,true
L-100122,insurance_certificate,true
L-100122,title_report,true
L-100123,insurance_certificate,true
L-100124,appraisal_report,true
L-100124,deed_of_trust,true
L-100124,insurance_certificate,true
L-100125,insurance_certificate,true
L-100125,income_verification,true
L-100126,promissory_note,true
L-100126,insurance_certificate,true
L-100126,appraisal_report,true
L-100127,appraisal_report,true
L-100127,insurance_certificate,true
L-100127,promissory_note,true
L-100128,deed_of_trust,false
L-100128,insurance_certificate,true
L-100128,appraisal_report,true
L-100129,deed_of_trust,true
L-100130,promissory_note,true
L-100130,insurance_certificate,true
L-100131,title_report,true
L-100131,insurance_certificate,false
L-100132,appraisal_report,true
L-100133,promissory_note,true
L-100133,deed_of_trust,true
L-100134,promissory_note,true
L-100135,income_verification,true
L-100136,insurance_certificate,true
L-100137,promissory_note,true
L-100137,insurance_certificate,true
L-100137,title_report,true
L-100138,appraisal_report,true
L-100138,deed_of_trust,true
L-100138,promissory_note,false
L-100139,income_verification,true
L-100139,insurance_certificate,true
L-100140,income_verification,true
L-100141,promissory_note,true
L-100141,deed_of_trust,true
L-100141,title_report,true
L-100142,deed_of_trust,true
L-100142,title_report,false
L-100142,insurance_certificate,true
L-100143,insurance_certificate,true
L-100144,insurance_certificate,true
L-100145,insurance_certificate,true
L-100145,promissory_note,true
L-100145,appraisal_report,true
L-100146,income_verification,true
L-100146,insurance_certificate,true
L-100146,appraisal_report,true
L-100147,deed_of_trust,true
L-100148,promissory_note,true
L-100148,insurance_certificate,true
L-100149,deed_of_trust,true
L-100149,insurance_certificate,true
L-100150,title_report,true
L-100151,title_report,true
L-100151,income_verification,true
L-100152,income_verification,true
L-100153,promissory_note,true
L-100154,income_verification,true
L-100154,promissory_note,true
L-100155,insurance_certificate,false
L-100155,deed_of_trust,true
L-100156,promissory_note,true
L-100156,title_report,true
L-100156,income_verification,true
L-100157,income_verification,true
L-100157,title_report,true
L-100157,appraisal_report,true
L-100158,appraisal_report,true
L-100159,appraisal_report,true
L-100160,promissory_note,true
L-100160,appraisal_report,true
L-100160,income_verification,true
L-100161,income_verification,true
L-100161,title_report,true
L-100161,deed_of_trust,true
L-100162,deed_of_trust,true
L-100162,income_verification,false
L-100163,income_verification,true
L-100164,appraisal_report,true
L-100165,deed_of_trust,true
L-100165,appraisal_report,true
L-100166,title_report,true
L-100166,promissory_note,true
L-100167,deed_of_trust,true
L-100167,appraisal_report,false
L-100168,appraisal_report,true
L-100168,deed_of_trust,true
L-100168,promissory_note,true
L-100169,deed_of_trust,true
L-100170,income_verification,true
L-100170,appraisal_report,true
L-100171,insurance_certificate,true
L-100171,appraisal_report,true
L-100171,income_verification,true
L-100172,income_verification,true
L-100172,deed_of_trust,true
L-100172,appraisal_report,true
L-100173,deed_of_trust,true
L-100173,promissory_note,false
L-100173,income_verification,false
L-100174,appraisal_report,true
L-100174,income_verification,false
L-100175,appraisal_report,true
L-100175,title_report,true
L-100176,promissory_note,true
L-100176,title_report,true
L-100176,appraisal_report,true
L-100177,promissory_note,false
L-100177,deed_of_trust,true
L-100178,appraisal_report,true
L-100178,income_verification,true
L-100178,title_report,true
L-100179,title_report,true
L-100179,income_verification,true
L-100180,deed_of_trust,true
L-100180,insurance_certificate,false
L-100180,title_report,true
L-100181,income_verification,true
L-100181,appraisal_report,true
L-100181,deed_of_trust,true
L-100182,promissory_note,true
L-100183,insurance_certificate,true
L-100183,title_report,true
L-100183,promissory_note,true
L-100184,insurance_certificate,true
L-100185,title_report,true
L-100185,deed_of_trust,true
L-100186,insurance_certificate,true
L-100186,title_report,true
L-100186,appraisal_report,true
L-100187,title_report,true
L-100187,appraisal_report,true
L-100188,deed_of_trust,true
L-100188,income_verification,true
L-100188,insurance_certificate,true
L-100189,appraisal_report,true
L-100189,insurance_certificate,true
L-100190,promissory_note,true
L-100190,title_report,true
L-100190,insurance_certificate,false
L-100191,income_verification,true
L-100191,promissory_note,false
L-100191,appraisal_report,true
L-100192,deed_of_trust,true
L-100193,appraisal_report,true
L-100194,appraisal_report,true
L-100194,title_report,true
L-100195,insurance_certificate,true
L-100195,promissory_note,true
L-100196,income_verification,true
L-100197,deed_of_trust,true
L-100198,title_report,true
L-100198,income_verification,false
L-100199,title_report,true
L-100199,income_verification,true
L-100199,insurance_certificate,true
L-100200,income_verification,true
L-100200,appraisal_report,true
L-100201,appraisal_report,true
L-100202,promissory_note,false
L-100202,insurance_certificate,true
L-100203,insurance_certificate,true
L-100203,appraisal_report,false
L-100203,promissory_note,true
L-100204,title_report,false
L-100204,deed_of_trust,true
L-100204,insurance_certificate,false
L-100205,insurance_certificate,true
L-100206,deed_of_trust,true
L-100207,title_report,true
L-100207,income_verification,true
L-100208,appraisal_report,true
L-100208,income_verification,true
L-100209,insurance_certificate,true
L-100209,income_verification,true
L-100209,deed_of_trust,true
L-100210,promissory_note,true
L-100210,deed_of_trust,false
L-100211,appraisal_report,true
L-100211,deed_of_trust,true
L-100211,insurance_certificate,false
L-100212,deed_of_trust,true
L-100212,title_report,true
L-100213,income_verification,true
L-100214,promissory_note,false
L-100214,appraisal_report,true
L-100214,income_verification,true
L-100215,insurance_certificate,true
L-100216,promissory_note,true
L-100217,insurance_certificate,true
L-100217,title_report,true
L-100218,title_report,true
L-100218,income_verification,true
L-100219,income_verification,true
L-100219,title_report,true
L-100220,insurance_certificate,true
L-100220,title_report,true
L-100221,deed_of_trust,true
L-100221,promissory_note,true
L-100222,appraisal_report,false
L-100222,title_report,true
L-100223,title_report,true
L-100223,deed_of_trust,true
L-100224,deed_of_trust,true
L-100224,income_verification,true
L-100224,insurance_certificate,true
L-100225,income_verification,true
L-100226,appraisal_report,true
L-100227,appraisal_report,true
L-100227,promissory_note,true
L-100228,deed_of_trust,false
L-100228,title_report,true
L-100228,insurance_certificate,true
L-100229,title_report,true
L-100229,insurance_certificate,true
L-100230,title_report,true
L-100230,income_verification,true
L-100230,appraisal_report,true
L-100231,title_report,true
L-100231,appraisal_report,true
L-100232,promissory_note,true
L-100233,appraisal_report,true
L-100234,income_verification,false
L-100234,title_report,true
L-100235,income_verification,true
L-100235,deed_of_trust,true
L-100236,title_report,true
L-100236,income_verification,true
L-100236,insurance_certificate,true
L-100237,insurance_certificate,false
L-100238,title_report,true
L-100238,income_verification,true
L-100238,promissory_note,true
L-100239,title_report,true
L-100239,insurance_certificate,true
L-100239,deed_of_trust,true
L-100240,deed_of_trust,true
L-100240,appraisal_report,true
L-100241,insurance_certificate,true
L-100241,title_report,true
L-100242,insurance_certificate,true
L-100242,income_verification,true
L-100242,promissory_note,true
L-100243,insurance_certificate,true
L-100243,title_report,true
L-100243,deed_of_trust,true
L-100244,title_report,false
L-100245,title_report,false
L-100245,income_verification,true
L-100245,appraisal_report,true
L-100246,deed_of_trust,true
L-100246,promissory_note,true
L-100247,deed_of_trust,true
L-100248,promissory_note,true
L-100249,deed_of_trust,true
L-100250,promissory_note,true
L-100250,income_verification,true
L-100250,appraisal_report,true
L-100251,deed_of_trust,true
L-100251,title_report,true
L-100251,promissory_note,true
L-100252,appraisal_report,true
L-100253,deed_of_trust,true
L-100254,income_verification,true
L-100255,title_report,false
L-100256,insurance_certificate,true
L-100256,income_verification,true
L-100256,deed_of_trust,true
L-100257,income_verification,true
L-100257,deed_of_trust,true
L-100257,insurance_certificate,false
L-100258,income_verification,true
L-100258,title_report,false
L-100258,insurance_certificate,true
L-100259,insurance_certificate,true
L-100259,deed_of_trust,true
L-100260,deed_of_trust,true
L-100261,deed_of_trust,true
L-100262,appraisal_report,true
L-100262,income_verification,true
L-100262,title_report,true
L-100263,income_verification,true
L-100263,insurance_certificate,true
L-100263,deed_of_trust,true
L-100264,appraisal_report,true
L-100264,promissory_note,true
L-100264,insurance_certificate,true
L-100265,insurance_certificate,true
L-100265,appraisal_report,true
L-100266,appraisal_report,true
L-100266,title_report,true
L-100267,deed_of_trust,true
L-100267,appraisal_report,false
L-100268,appraisal_report,true
L-100269,income_verification,false
L-100270,income_verification,true
L-100270,title_report,true
L-100270,deed_of_trust,true
L-100271,appraisal_report,true
L-100271,deed_of_trust,true
L-100272,deed_of_trust,true
L-100272,income_verification,true
L-100273,promissory_note,true
L-100273,deed_of_trust,true
L-100274,title_report,true
L-100275,income_verification,true
L-100275,appraisal_report,true
L-100276,income_verification,true
L-100277,title_report,true
L-100277,deed_of_trust,true
L-100277,promissory_note,true
L-100278,deed_of_trust,true
L-100278,promissory_note,true
L-100279,deed_of_trust,true
L-100279,promissory_note,true
L-100280,appraisal_report,true
L-100281,insurance_certificate,true
L-100281,appraisal_report,true
L-100282,title_report,true
L-100282,income_verification,true
L-100282,deed_of_trust,true
L-100283,appraisal_report,false
L-100284,appraisal_report,true
L-100284,insurance_certificate,true
L-100285,promissory_note,true
L-100285,income_verification,true
L-100286,appraisal_report,true
L-100286,income_verification,true
L-100287,promissory_note,true
L-100288,deed_of_trust,true
L-100288,appraisal_report,true
L-100288,promissory_note,true
L-100289,title_report,true
L-100289,appraisal_report,true
L-100290,promissory_note,true
L-100290,appraisal_report,true
L-100291,income_verification,true
L-100291,title_report,true
L-100291,deed_of_trust,true
L-100292,deed_of_trust,true
L-100292,title_report,true
L-100293,appraisal_report,true
L-100293,insurance_certificate,false
L-100293,title_report,true
L-100294,insurance_certificate,true
L-100294,title_report,true
L-100294,deed_of_trust,true
L-100295,income_verification,true
L-100295,deed_of_trust,true
L-100296,promissory_note,true
L-100296,title_report,false
L-100297,deed_of_trust,true
L-100297,income_verification,true
L-100297,promissory_note,true
L-100298,promissory_note,true
L-100298,appraisal_report,true
L-100298,deed_of_trust,true
L-100299,deed_of_trust,true
L-100299,promissory_note,true
L-100299,insurance_certificate,true
L-100300,income_verification,true
L-100300,appraisal_report,true
L-100300,title_report,true
L-100301,insurance_certificate,true
L-100302,title_report,false
L-100302,income_verification,true
L-100303,insurance_certificate,false
L-100303,appraisal_report,true
